2	0.2633 
 5	0.1343 
 8	0.1870 
 11	0.2564 
 14	0.1501 
 17	0.2533 
 20	0.4289 
 23	0.2181 
 26	0.2995 
 29	0.2194 
 32	0.2416 
 35	0.1281 
 38	0.1863 
 41	0.3480 
 44	0.1447 
 47	0.1297 
 50	0.3641 
 53	0.1821 
 56	0.5052 
 59	0.2761 
 62	0.2690 
 65	0.1043 
 68	0.4012 
 71	0.1496 
 74	0.5141 
 77	0.2910 
 80	0.2845 
 83	0.3034 
 86	0.4049 
 89	0.1539 
 92	0.2999 
 95	0.1280 
 98	0.6371 
 101	0.3083 
 104	0.2296 
 107	0.2591 
 110	0.1762 
 113	0.1667 
 116	0.3049 
 119	0.2007 
 122	0.2365 
 125	0.3031 
 128	0.5144 
 131	0.4269 
 134	0.1292 
 137	0.1973 
 140	0.3141 
 143	0.1682 
 146	0.3470 
 149	0.1055 
 152	0.4201 
 155	0.2107 
 158	0.2174 
 161	0.2488 
 164	0.3188 
 167	0.1795 
 170	0.2038 
 173	0.2619 
 176	0.3660 
 179	0.0876 
 182	0.3815 
 185	0.1753 
 188	0.2483 
 191	0.1290 
 194	0.2601 
 197	0.3248 
 200	0.3225 
 203	0.2937 
 206	0.3684 
 209	0.2252 
 212	0.1327 
 215	0.2208 
 218	0.3455 
 221	0.3378 
 224	0.1361 
 227	0.2817 
 230	0.2457 
 233	0.3253 
 236	0.3574 
 239	0.4773 
 242	0.2521 
 245	0.3352 
 248	0.2009 
 251	0.2653 
 254	0.1959 
 257	0.2777 
 260	0.1774 
 263	0.2764 
 266	0.2354 
 269	0.1552 
 272	0.1955 
 275	0.4430 
 278	0.1066 
 281	0.1630 
 284	0.3376 
 287	0.2717 
 290	0.3399 
 293	0.2230 
 296	0.2080 
 299	0.2291 
 302	0.0415 
 305	0.2322 
 308	0.1501 
 311	0.1872 
 314	0.2392 
 317	0.3234 
 320	0.1963 
 323	0.1481 
 326	0.3064 
 329	0.1376 
 332	0.3684 
 335	0.3070 
 338	0.1261 
 341	0.5008 
 344	0.2870 
 347	0.1453 
 350	0.2437 
 353	0.2443 
 356	0.1838 
 359	0.1422 
 362	0.1132 
 365	0.4180 
 368	0.2914 
 371	0.2397 
 374	0.4834 
 377	0.3337 
 380	0.2569 
 383	0.3837 
 386	0.2323 
 389	0.2087 
 392	0.2226 
 395	0.2415 
 398	0.1662 
 401	0.0352 
