 Tetrahedral Order Parameter is 0.0923 
 Tetrahedral Order Parameter is 0.0897 
 Tetrahedral Order Parameter is 0.0933 
 Tetrahedral Order Parameter is 0.1008 
 Tetrahedral Order Parameter is 0.0961 
 Tetrahedral Order Parameter is 0.0985 
 Tetrahedral Order Parameter is 0.0994 
 Tetrahedral Order Parameter is 0.0965 
 Tetrahedral Order Parameter is 0.0976 
 Tetrahedral Order Parameter is 0.0965 
 Tetrahedral Order Parameter is 0.0941 
 Tetrahedral Order Parameter is 0.0966 
 Tetrahedral Order Parameter is 0.0962 
 Tetrahedral Order Parameter is 0.0951 
 Tetrahedral Order Parameter is 0.0980 
 Tetrahedral Order Parameter is 0.0993 
 Tetrahedral Order Parameter is 0.0959 
 Tetrahedral Order Parameter is 0.0970 
 Tetrahedral Order Parameter is 0.0968 
 Tetrahedral Order Parameter is 0.0976 
 Tetrahedral Order Parameter is 0.0963 
 Tetrahedral Order Parameter is 0.1006 
 Tetrahedral Order Parameter is 0.0983 
 Tetrahedral Order Parameter is 0.1026 
 Tetrahedral Order Parameter is 0.0995 
 Tetrahedral Order Parameter is 0.0990 
 Tetrahedral Order Parameter is 0.0952 
 Tetrahedral Order Parameter is 0.1029 
 Tetrahedral Order Parameter is 0.1008 
 Tetrahedral Order Parameter is 0.1039 
 Tetrahedral Order Parameter is 0.1026 
 Tetrahedral Order Parameter is 0.1020 
 Tetrahedral Order Parameter is 0.1016 
 Tetrahedral Order Parameter is 0.1031 
 Tetrahedral Order Parameter is 0.0974 
 Tetrahedral Order Parameter is 0.0991 
 Tetrahedral Order Parameter is 0.0975 
 Tetrahedral Order Parameter is 0.0993 
 Tetrahedral Order Parameter is 0.0990 
 Tetrahedral Order Parameter is 0.0974 
 Tetrahedral Order Parameter is 0.1044 
 Tetrahedral Order Parameter is 0.1050 
 Tetrahedral Order Parameter is 0.1024 
 Tetrahedral Order Parameter is 0.0995 
 Tetrahedral Order Parameter is 0.0978 
 Tetrahedral Order Parameter is 0.0997 
 Tetrahedral Order Parameter is 0.0981 
 Tetrahedral Order Parameter is 0.0981 
 Tetrahedral Order Parameter is 0.0997 
 Tetrahedral Order Parameter is 0.0977 
 Tetrahedral Order Parameter is 0.0984 
 Tetrahedral Order Parameter is 0.0965 
 Tetrahedral Order Parameter is 0.0986 
 Tetrahedral Order Parameter is 0.0972 
 Tetrahedral Order Parameter is 0.0997 
 Tetrahedral Order Parameter is 0.0989 
 Tetrahedral Order Parameter is 0.0993 
 Tetrahedral Order Parameter is 0.0988 
 Tetrahedral Order Parameter is 0.0992 
 Tetrahedral Order Parameter is 0.1004 
 Tetrahedral Order Parameter is 0.1015 
